,1,2,3,4,5,6
Drug 1,40.0,40.0,133.6,257.2,102.4,96.69999999999999
Drug 2,30.0,173.14285714285714,63.25714285714287,164.8,69.36000000000001,344.58
Drug 3,145.6,109.2,119.39999999999999,44.359999999999985,102.69714285714286,92.02285714285716
Drug 4,30.0,26.25,39.75,36.80000000000001,410.56000000000006,76.32000000000001
Drug 5,41.66666666666667,14.583333333333329,10.416666666666671,26.53333333333333,228.26666666666665,159.63333333333333
