,1,2,3,4,5,6
Drug 1,10.0,20.0,200.4,257.2,204.79999999999998,290.09999999999997
Drug 2,20.0,28.857142857142854,147.6,164.8,277.44,114.86
Drug 3,36.4,109.2,39.8,177.44000000000003,256.7428571428572,214.72000000000003
Drug 4,20.0,43.75,318.0,331.2,102.64000000000001,76.32000000000001
Drug 5,8.333333333333332,43.75,83.33333333333333,238.79999999999998,456.5333333333333,478.9
